issue_key,issue_type,source_sheet,source_row,reference_value,details,resolved
4f2587e1157af0135980c00555ce204715d87c5b3760f01cda61b5708a38eda6,price_component_missing_item,3번) 세트분리 (RAW누적),2403,QA-Custumpouch_BE,"{""price_rule_key"":""83b2aac39afd350d0f64f3f953cf48f5ff5df9e16b181839e6a8349aa8315b8b""}",false
4462bd755b7748ed301832313d882cd6c44d2dcfd6c81a6218cce90ab919c484,price_rule_amount_mismatch,3번) 세트분리 (RAW누적),2405,리큐엠 20000mAh 잔량표시 고속충전 대용량 보조배터리 QP2000C 단품세트/단품: 여행세트 / 색상: 포레그린 / 구성품: 어댑터(블랙)+저울(블랙)+파우치(그린),"{""total_price"":67200,""allocated_total"":66900,""variance"":-300}",false
5b073b11845def56f59a2e5dbc5d25309432e75ad1efdad67ef0ed6ab9d09f14,price_rule_amount_mismatch,3번) 세트분리 (RAW누적),2410,리큐엠 20000mAh 잔량표시 고속충전 대용량 보조배터리 QP2000C 단품세트/단품: 여행세트 / 색상: 화이트 / 구성품: 어댑터(블랙)+저울(블랙)+파우치(블랙),"{""total_price"":67200,""allocated_total"":66900,""variance"":-300}",false
0cc447806c71869c60816c6b83d49445f49f314ce982dc6567c0e2e2d45cf299,price_rule_amount_mismatch,3번) 세트분리 (RAW누적),2415,리큐엠 20000mAh 잔량표시 고속충전 대용량 보조배터리 QP2000C 단품세트/단품: 여행세트 / 색상: 화이트 / 구성품: 어댑터(블랙)+저울(블랙)+파우치(블루),"{""total_price"":67200,""allocated_total"":66900,""variance"":-300}",false
2597067a5de01cc5cfae56c01b8c7b714eb943a6f84ff2e996aee69f373b5006,price_rule_amount_mismatch,3번) 세트분리 (RAW누적),2420,리큐엠 20000mAh 잔량표시 고속충전 대용량 보조배터리 QP2000C 단품세트/단품: 여행세트 / 색상: 화이트 / 구성품: 어댑터(블랙)+저울(블랙)+파우치(옐로우),"{""total_price"":67200,""allocated_total"":66900,""variance"":-300}",false
2831629edc205d91d060f1e3af278365660a0439b5794bf891ca2e4f648f0a46,price_rule_amount_mismatch,3번) 세트분리 (RAW누적),2684,리큐엠 3in1 고속 무선 충전기 갤럭시워치 Q3100S 단품단품/세트: 멀티세트 / 색상: 화이트 / 구성품: 100W CtoC(블루)+65W어댑터(그레이),"{""total_price"":68900,""allocated_total"":68400,""variance"":-500}",false
533c93f0ad1d836d4923ea61e16f2c936f3aab49eaadb830210bf045ddef0397,price_rule_amount_mismatch,3번) 세트분리 (RAW누적),2690,리큐엠 3in1 고속 무선 충전기 갤럭시워치 Q3100S 단품단품/세트: 멀티세트 / 색상: 화이트 / 구성품: 100W CtoC(핑크)+65W어댑터(그레이),"{""total_price"":68900,""allocated_total"":68400,""variance"":-500}",false
6898222aca93545ecfbfba70f384bb82077a69a02a028bbabd296ae35a2ad4af,price_rule_amount_mismatch,3번) 세트분리 (RAW누적),2696,리큐엠 3in1 고속 무선 충전기 갤럭시워치 Q3100S 단품단품/세트: 멀티세트 / 색상: 화이트 / 구성품: 100W CtoC(핑크)+65W어댑터(그레이),"{""total_price"":68900,""allocated_total"":68400,""variance"":-500}",false
da7ded6dde2b5eb89fcb755041d8279ffafcec08d4aea95abc8a36e3bd4ee4ed,price_component_missing_item,3번) 세트분리 (RAW누적),4000,QA-Custumpouch_BE,"{""price_rule_key"":""474b9ba0a4e193585fca0fbf5733cf811a9b55b898af87c194ba3b6804041eb0""}",false
db1015bb6c10ae7d027647c74aeabf8ce2ad237683011de0e2588eba082491df,price_component_missing_item,3번) 세트분리 (RAW누적),4010,QA-Custumpouch_BE,"{""price_rule_key"":""db0e11994d33aa5f56544ef79e584d5a1b74b0e227a3d72600e413c846b409d9""}",false
