price_rule_key,source_channel,source_product_name,source_options,normalized_source,total_unit_price,item_type,main_product,set_name,component_count,allocated_total,allocation_variance,source_row,review_status,is_active
b23a6034f47b708e921a922c9279d433f2ebf998d08a5638f0623ce2244000f3,리큐엠_스마트스토어,커스텀파우치,색상: 블루+벨크로1M,커스텀파우치색상블루벨크로1m,15900,세트,커스텀파우치,벨크로타이 1M 무료증정,2,15900,0,101,confirmed,true
8117e9e3f85e1a0677b0bb76a50b0e5516100491d1d36d1071e54d044b8275f9,리큐엠_스마트스토어,커스텀파우치,색상: 블랙+벨크로1M,커스텀파우치색상블랙벨크로1m,15900,세트,커스텀파우치,벨크로타이 1M 무료증정,2,15900,0,103,confirmed,true
b257397de9520f9fa709cb7b40330c2767fa069043276c3d667a7bd8e7c42f67,리큐엠_스마트스토어,커스텀파우치,색상: 베이지+벨크로1M,커스텀파우치색상베이지벨크로1m,15900,세트,커스텀파우치,벨크로타이 1M 무료증정,2,15900,0,105,confirmed,true
0cd5c6b2cad864ec25c80dd7bcd5e4ceca5ba3f61f0be6f9539a6d8f5ceee333,리큐엠_스마트스토어,커스텀파우치,색상: 옐로우+벨크로1M,커스텀파우치색상옐로우벨크로1m,15900,세트,커스텀파우치,벨크로타이 1M 무료증정,2,15900,0,107,confirmed,true
02c1deabdfcfd313294116239347cd04661491253dfe2862bdeec5ae5d55724d,리큐엠_스마트스토어,커스텀파우치,색상: 그린+벨크로1M,커스텀파우치색상그린벨크로1m,15400,세트,커스텀파우치,벨크로타이 1M 무료증정,2,15400,0,109,confirmed,true
e4b0789991e69092732f09fb2c7dacd54419fd48989b048bca96fb5666e24da4,리큐엠_스마트스토어,커스텀파우치,색상: 블루+벨크로1M,커스텀파우치색상블루벨크로1m,15400,세트,커스텀파우치,벨크로타이 1M 무료증정,2,15400,0,111,confirmed,true
e0040c537ac2932779ad7824d26b96e08d76d06d007cf4b4de0fb303893ef3e0,리큐엠_스마트스토어,커스텀파우치,색상: 블랙+벨크로1M,커스텀파우치색상블랙벨크로1m,15400,세트,커스텀파우치,벨크로타이 1M 무료증정,2,15400,0,113,confirmed,true
a23ac5f76b7843e17e9701a22589a355775c0cf548c8dd0617112e327276fd18,리큐엠_스마트스토어,커스텀파우치,색상: 베이지+벨크로1M,커스텀파우치색상베이지벨크로1m,15400,세트,커스텀파우치,벨크로타이 1M 무료증정,2,15400,0,115,confirmed,true
53f9b1e02dc4c2b1f2a5026a7e5f694f5743b48c9a0818f8159d3ed30ce7b40d,리큐엠_스마트스토어,커스텀파우치,색상: 옐로우+벨크로1M,커스텀파우치색상옐로우벨크로1m,15400,세트,커스텀파우치,벨크로타이 1M 무료증정,2,15400,0,117,confirmed,true
8453359ffc1ca78f336d06a5c99adcbd6edd423a96a9b92a41ac2e805370ff36,리큐엠_스마트스토어,커스텀파우치,NEW 커스텀 하드파우치: 그린,커스텀파우치new커스텀하드파우치그린,12900,세트,커스텀파우치,벨크로타이 1M 무료증정 (추가상품),2,12900,0,119,confirmed,true
c3e1d8a21955b561801f14b08f4b7bfd9fe5058605f5ceb471d416b6ace00a95,리큐엠_스마트스토어,커스텀파우치,NEW 커스텀 하드파우치: 블루,커스텀파우치new커스텀하드파우치블루,12900,세트,커스텀파우치,벨크로타이 1M 무료증정 (추가상품),2,12900,0,121,confirmed,true
b068c457dbcf3405acc5094bea971eb324097e20b75c6bf0afe7c29a3ba012a8,리큐엠_스마트스토어,커스텀파우치,NEW 커스텀 하드파우치: 블랙,커스텀파우치new커스텀하드파우치블랙,12900,세트,커스텀파우치,벨크로타이 1M 무료증정 (추가상품),2,12900,0,123,confirmed,true
